"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
"1",-118.45,34.18,34,1843,442,861,417,3.6875,246400,"<1H OCEAN"
"2",-122.11,37.66,35,2843,652,1726,643,3.09,174100,"NEAR BAY"
"3",-121.93,37.31,29,1377,430,969,399,2.6573,252800,"<1H OCEAN"
"4",-119.67,34.44,32,3202,537,1316,538,5.2888,463800,"<1H OCEAN"
"5",-117.91,33.82,32,1408,307,1331,284,3.7014,179600,"<1H OCEAN"
"6",-118.85,34.18,11,5873,1455,3089,1365,3.5504,173800,"<1H OCEAN"
"7",-121.9,37.36,47,1007,245,581,240,2.9545,237500,NA
"8",-117.96,33.78,35,1330,201,658,217,NA,229200,"<1H OCEAN"
"9",-118.41,33.92,22,2340,584,1141,554,4.5729,337500,"<1H OCEAN"
"10",-121.2,38.69,26,3077,607,1603,595,2.7174,137500,"INLAND"
"11",-117.2,32.78,38,2662,498,1132,496,4.0057,241600,"NEAR OCEAN"
"12",-120.65,37.09,22,886,173,595,161,2.4398,150000,"INLAND"
"13",-118.11,33.83,36,1820,313,899,295,4.918,225200,"<1H OCEAN"
"14",-121.9,38.04,36,1489,331,838,259,1.2024,90200,"INLAND"
"15",-117.45,34.01,26,3042,598,1720,551,2.76,95200,"INLAND"
"16",-118.23,34.14,39,277,89,182,91,2.3958,175000,"<1H OCEAN"
"17",-118.49,34.29,26,4516,611,1714,581,NA,431800,"<1H OCEAN"
"18",-121.49,38.52,37,1902,413,955,384,3.1014,96800,"INLAND"
"19",-121.24,38.01,22,1526,299,790,300,2.4342,125000,"INLAND"
"20",-117.79,33.84,9,10484,1603,4005,1419,NA,365300,"<1H OCEAN"
"21",-118.63,34.19,32,3568,591,1741,563,5.1529,259600,"<1H OCEAN"
"22",-122.28,37.84,52,729,160,395,155,1.6875,132000,"NEAR BAY"
"23",-118.19,33.98,33,151,83,380,83,1.4224,189600,"<1H OCEAN"
"24",-118.14,33.88,41,1531,343,NA,341,4.3646,161400,"<1H OCEAN"
"25",-118.46,34.16,28,2795,622,1173,545,4.4423,280400,"<1H OCEAN"
"26",-117.86,33.91,16,2889,423,1227,401,NA,270800,NA
"27",-122.53,38.01,16,1495,292,472,284,3.4432,67500,"NEAR BAY"
"28",-118.35,34.03,35,1438,333,NA,306,1.975,138100,"<1H OCEAN"
"29",-118.55,34.21,33,3910,838,2097,810,3.8247,208700,"<1H OCEAN"
"30",-121.36,38.69,13,6850,1400,4251,1421,3.6989,93300,"INLAND"
"31",-122.07,37.86,23,1025,205,263,191,3.12,155000,"NEAR BAY"
"32",-117.81,33.87,19,4491,680,2457,702,6.0591,233500,"<1H OCEAN"
"33",-121.93,37.05,14,679,108,306,113,NA,340600,NA
"34",-117.27,33,36,2426,454,1085,420,5.1523,387800,NA
"35",-122.43,37.73,52,1386,276,NA,274,3.6694,275500,"NEAR BAY"
"36",-118.43,34.43,5,21113,4386,9842,3886,4.2037,194600,"<1H OCEAN"
"37",-122.18,37.73,43,1391,293,855,285,2.5192,76400,"NEAR BAY"
"38",-117.92,33.79,35,1785,288,1033,297,4.5739,190500,"<1H OCEAN"
"39",-121.47,38.55,24,979,287,546,291,1.186,67000,"INLAND"
"40",-121.2,38.67,26,1546,287,773,299,2.9803,115400,"INLAND"
"41",-121.94,37.3,26,4348,814,2347,810,4.7275,293000,NA
"42",-117.88,34.12,36,2029,351,1327,364,4.1836,164300,"<1H OCEAN"
"43",-121.98,37.36,32,1199,229,814,238,4.6719,252100,"<1H OCEAN"
"44",-118.34,33.93,37,1638,407,1341,369,3.0677,167700,"<1H OCEAN"
"45",-118.06,33.98,42,1342,243,615,208,5.4381,186900,"<1H OCEAN"
"46",-121.04,39.24,48,1188,227,471,219,2.3125,125700,"INLAND"
"47",-117.91,33.79,22,4417,1054,NA,983,4.25,170300,"<1H OCEAN"
"48",-117.99,33.82,33,2342,475,1367,509,4.1167,215500,NA
"49",-122.03,37.55,22,9167,1373,4319,1404,NA,284800,"NEAR BAY"
"50",-117.88,33.74,19,2261,642,3545,635,2.5224,148500,"<1H OCEAN"
"51",-118.25,34.05,52,2806,1944,2232,1605,0.6775,350000,"<1H OCEAN"
"52",-117.29,34.12,40,2198,612,1517,531,1.0951,65800,"INLAND"
"53",-117.91,33.61,27,1797,343,435,203,5.9196,500001,"<1H OCEAN"
"54",-119.04,35.41,25,1577,310,844,309,3.0625,69400,"INLAND"
"55",-117.86,34.24,52,803,267,628,225,4.1932,14999,"INLAND"
"56",-117.69,34.07,34,4055,739,2470,753,3.8586,136000,"INLAND"
